epoch,binary_accuracy,loss,val_binary_accuracy,val_loss
0,0.6392417550086975,0.6113916039466858,0.6768956780433655,0.5626912117004395
1,0.7803400158882141,0.5249356031417847,0.7457929253578186,0.5182995796203613
2,0.8248974084854126,0.48216885328292847,0.7685607075691223,0.4973442852497101
3,0.8475669622421265,0.45047059655189514,0.7893486618995667,0.4785911738872528
4,0.8641782402992249,0.4238603711128235,0.8146901726722717,0.4563366770744324
5,0.8757084012031555,0.39992767572402954,0.8168679475784302,0.4492030441761017
6,0.8901700377464294,0.3786567151546478,0.8190457224845886,0.4426659643650055
7,0.8977916836738586,0.35905352234840393,0.8273609280586243,0.431292325258255
8,0.9075630307197571,0.3395683467388153,0.8257770538330078,0.42989271879196167
0,0.7396911978721619,0.5347656011581421,0.7851910591125488,0.45990699529647827
1,0.8327144980430603,0.407557874917984,0.8152840733528137,0.41024860739707947
0,0.7629470229148865,0.4928060472011566,0.8251831531524658,0.3989417552947998
1,0.8520617485046387,0.3540911376476288,0.8463670611381531,0.3582354485988617
2,0.875903844833374,0.3075217306613922,0.8556721210479736,0.3377443253993988
3,0.8948602676391602,0.27374640107154846,0.8594337701797485,0.32635676860809326
4,0.9067813158035278,0.24808529019355774,0.8614135980606079,0.31990671157836914
5,0.9159663915634155,0.22751523554325104,0.8637893199920654,0.3172895312309265
6,0.9251514673233032,0.21154925227165222,0.8627994656562805,0.3188142478466034
7,0.9294508695602417,0.20084457099437714,0.8622055053710938,0.3237477242946625
8,0.9249560236930847,0.19813920557498932,0.8653731942176819,0.3220601975917816
9,0.9331639409065247,0.18365637958049774,0.8786379098892212,0.307775616645813
10,0.9282782673835754,0.19137726724147797,0.8663631081581116,0.32031506299972534
11,0.924369752407074,0.18859639763832092,0.8699267506599426,0.31787627935409546
12,0.9206566214561462,0.19579602777957916,0.8552761673927307,0.36438992619514465
13,0.9228063225746155,0.1848238706588745,0.828548789024353,0.45159515738487244
14,0.9423490166664124,0.1505441963672638,0.8451792001724243,0.394378125667572
0,0.6191127896308899,0.6916788816452026,0.7697485685348511,0.6598411798477173
1,0.7377369403839111,0.6265178322792053,0.7911304831504822,0.5928654074668884
2,0.8041821122169495,0.5691578388214111,0.8194416761398315,0.5513038039207458
3,0.8348641991615295,0.5282601714134216,0.831914484500885,0.5218623280525208
4,0.8547977209091187,0.4953058362007141,0.842803418636322,0.499288946390152
5,0.8696501851081848,0.46709296107292175,0.8471589684486389,0.47977644205093384
6,0.8811804056167603,0.4416739046573639,0.8497326970100403,0.4627651870250702
7,0.8931014537811279,0.4185698628425598,0.8517125248908997,0.4491228461265564
8,0.9009184837341309,0.3976373076438904,0.8550782203674316,0.4362223148345947
9,0.9097127318382263,0.3791736960411072,0.8584438562393188,0.42535272240638733
10,0.9153801202774048,0.3600727319717407,0.8586418628692627,0.4175105690956116
11,0.920265793800354,0.34321752190589905,0.8562660813331604,0.4132442772388458
12,0.9261285662651062,0.3287732005119324,0.8584438562393188,0.4068010151386261
13,0.9300371408462524,0.31469863653182983,0.8578499555587769,0.40173783898353577
14,0.9337502717971802,0.299983412027359,0.8554741740226746,0.4034218192100525
15,0.9380496144294739,0.2858453392982483,0.8574539422988892,0.4003421664237976
16,0.9433261752128601,0.2727617919445038,0.8614135980606079,0.3915453851222992
17,0.9458667039871216,0.26161113381385803,0.8633933663368225,0.38190361857414246
18,0.9456713199615479,0.25173231959342957,0.8647792339324951,0.37785351276397705
19,0.9493843913078308,0.24132832884788513,0.8657691478729248,0.37386101484298706
20,0.9476255774497986,0.2352413535118103,0.8659671545028687,0.3689799904823303
21,0.9509478211402893,0.22929099202156067,0.8580479025840759,0.36975565552711487
22,0.9495798349380493,0.22678548097610474,0.8594337701797485,0.3672369718551636
23,0.9487981200218201,0.22088469564914703,0.8657691478729248,0.36388781666755676
24,0.9523158073425293,0.21234814822673798,0.8671550154685974,0.36468061804771423
25,0.9548563361167908,0.2061784565448761,0.8608196377754211,0.3652198910713196
26,0.95563805103302,0.19984063506126404,0.8491387963294983,0.3763904571533203
27,0.9548563361167908,0.19535988569259644,0.827954888343811,0.4093204438686371
28,0.9493843913078308,0.19465206563472748,0.8166699409484863,0.4301523268222809
29,0.9482118487358093,0.19361692667007446,0.8196396827697754,0.4281279742717743
30,0.9503615498542786,0.18811725080013275,0.8291427493095398,0.4108108878135681
31,0.9548563361167908,0.17770425975322723,0.83943772315979,0.3904869854450226
32,0.9603283405303955,0.16846834123134613,0.8477529287338257,0.37742704153060913
33,0.964236855506897,0.15975040197372437,0.8525044322013855,0.37084510922431946
0,0.6744186282157898,0.5995506644248962,0.6925361156463623,0.552519679069519
1,0.7955833673477173,0.5106661319732666,0.7533161640167236,0.513326108455658
2,0.8336915969848633,0.4682163596153259,0.7836071848869324,0.4894616901874542
3,0.8557748794555664,0.4353240132331848,0.8026133179664612,0.47140929102897644
4,0.875903844833374,0.40654289722442627,0.8206295967102051,0.45438718795776367
5,0.8891928791999817,0.3804134428501129,0.8293406963348389,0.44472700357437134
6,0.9017001986503601,0.3578885495662689,0.8354781270027161,0.43281835317611694
7,0.9091264605522156,0.3385501801967621,0.8431993722915649,0.42330044507980347
8,0.917138934135437,0.3190203905105591,0.8513165712356567,0.4109155833721161
9,0.9263240098953247,0.3016100823879242,0.8560681343078613,0.4043424129486084
10,0.9331639409065247,0.28721883893013,0.8538902997970581,0.408397376537323
11,0.9314051270484924,0.27548477053642273,0.8661651015281677,0.3823973834514618
12,0.9378542304039001,0.26130250096321106,0.842803418636322,0.3910805881023407
13,0.9382450580596924,0.25827497243881226,0.8483468890190125,0.4108104705810547
14,0.9427399039268494,0.2450927346944809,0.8679469227790833,0.37104642391204834
15,0.954660952091217,0.22925908863544464,0.8620074987411499,0.3883804380893707
16,0.9613054394721985,0.21144558489322662,0.8639873266220093,0.37913942337036133
17,0.9591557383537292,0.20759405195713043,0.8618095517158508,0.3934425711631775
18,0.9585694670677185,0.20130228996276855,0.8594337701797485,0.4053049385547638
19,0.956028938293457,0.19790786504745483,0.8445852398872375,0.458393394947052
20,0.9599374532699585,0.18893003463745117,0.8430013656616211,0.3889153301715851
21,0.9630643129348755,0.17794641852378845,0.8402296304702759,0.4788450300693512
22,0.9632596969604492,0.17066286504268646,0.8406256437301636,0.4843499958515167
23,0.9665820002555847,0.16228462755680084,0.8447831869125366,0.47335344552993774
24,0.9702950716018677,0.15785254538059235,0.8475549221038818,0.4120776057243347
25,0.970099687576294,0.15454477071762085,0.8430013656616211,0.39089319109916687
26,0.9747899174690247,0.16316968202590942,0.8521084785461426,0.3805489242076874
27,0.9788938760757446,0.14869005978107452,0.8560681343078613,0.37848445773124695
28,0.9806527495384216,0.1394374966621399,0.857651948928833,0.37759721279144287
29,0.9816298484802246,0.13247138261795044,0.8604236841201782,0.37960538268089294
